5, 4, 47.25, 6.14, 8288.02, -1053.04
4, 4, 42.00, 6.14, 8329.61, -1058.90
5, 5, 52.50, 6.14, 8381.60, -1066.22
5, 4, 47.25, 6.21, 8428.73, -1069.53
4, 5, 47.25, 6.14, 8475.52, -1076.12
5, 4, 47.25, 6.21, 8522.66, -1079.43
4, 5, 47.25, 6.14, 8569.45, -1086.02
5, 5, 52.50, 6.14, 8621.43, -1093.34
4, 5, 47.25, 6.07, 8667.64, -1103.19
5, 4, 47.25, 6.14, 8714.43, -1109.79
4, 5, 47.25, 6.07, 8760.64, -1119.64
5, 5, 52.50, 6.07, 8811.99, -1130.58
4, 4, 42.00, 6.07, 8853.07, -1139.34
5, 5, 52.50, 6.07, 8904.41, -1150.28
4, 4, 42.00, 6.07, 8945.49, -1159.04
5, 5, 52.50, 6.07, 8996.84, -1169.98
4, 5, 47.25, 6.00, 9042.25, -1183.04
5, 4, 47.25, 6.07, 9088.46, -1192.89
4, 5, 47.25, 6.00, 9133.87, -1205.95
5, 5, 52.50, 6.00, 9184.33, -1220.45
4, 4, 42.00, 6.00, 9224.69, -1232.06
5, 5, 52.50, 6.00, 9275.14, -1246.57
5, 4, 47.25, 6.07, 9321.36, -1256.42
4, 5, 47.25, 6.00, 9366.77, -1269.48
5, 4, 47.25, 6.07, 9412.98, -1279.33
5, 4, 47.25, 6.14, 9459.77, -1285.92
5, 5, 52.50, 6.14, 9511.75, -1293.25
4, 4, 42.00, 6.14, 9553.34, -1299.11
5, 5, 52.50, 6.14, 9605.33, -1306.43
4, 5, 47.25, 6.07, 9651.54, -1316.28
5, 4, 47.25, 6.14, 9698.33, -1322.88
5, 5, 52.50, 6.14, 9750.31, -1330.20
4, 5, 47.25, 6.07, 9796.53, -1340.05
4, 4, 42.00, 6.07, 9837.60, -1348.81
5, 5, 52.50, 6.07, 9888.95, -1359.75
5, 5, 52.50, 6.07, 9940.30, -1370.70
4, 4, 42.00, 6.07, 9981.37, -1379.45
5, 5, 52.50, 6.07, 10032.72, -1390.40
4, 5, 47.25, 6.00, 10078.13, -1403.45
5, 4, 47.25, 6.07, 10124.34, -1413.30
4, 5, 47.25, 6.00, 10169.75, -1426.36
5, 5, 52.50, 6.00, 10220.21, -1440.87
5, 4, 47.25, 6.07, 10266.42, -1450.72
4, 5, 47.25, 6.00, 10311.83, -1463.78
5, 5, 52.50, 6.00, 10362.29, -1478.29
4, 4, 42.00, 6.00, 10402.65, -1489.89
5, 5, 52.50, 6.00, 10453.10, -1504.40
4, 5, 47.25, 5.93, 10497.49, -1520.60
5, 4, 47.25, 6.00, 10542.90, -1533.66
5, 5, 52.50, 6.00, 10593.36, -1548.17
5, 4, 47.25, 6.07, 10639.57, -1558.02
5, 4, 47.25, 6.14, 10686.36, -1564.61
4, 5, 47.25, 6.07, 10732.57, -1574.46
5, 5, 52.50, 6.07, 10783.91, -1585.41
4, 4, 42.00, 6.07, 10824.99, -1594.16
5, 5, 52.50, 6.07, 10876.34, -1605.11
4, 5, 47.25, 6.00, 10921.75, -1618.16
5, 4, 47.25, 6.07, 10967.96, -1628.01
4, 5, 47.25, 6.00, 11013.37, -1641.07
5, 5, 52.50, 6.00, 11063.83, -1655.58
4, 5, 47.25, 5.93, 11108.21, -1671.78
5, 4, 47.25, 6.00, 11153.62, -1684.84
5, 5, 52.50, 6.00, 11204.08, -1699.35
4, 4, 42.00, 6.00, 11244.44, -1710.96
5, 5, 52.50, 6.00, 11294.90, -1725.46
5, 4, 47.25, 6.07, 11341.11, -1735.31
5, 4, 47.25, 6.14, 11387.90, -1741.91
5, 5, 52.50, 6.14, 11439.88, -1749.23
